Date,Qualified Bidders,Participating Bidders,Winning Bidders,Rounds,Duration
2-Mar-10,276,118,84,9,1:46
6-Apr-10,282,140,60,13,2:34
4-May-10,278,123,76,10,2:14
1-Jun-10,275,116,79,14,2:49
6-Jul-10,279,115,111,5,1:00
3-Aug-10,291,127,111,7,1:28
1-Sep-10,294,151,75,10,2:04
15-Sep-10,300,127,73,10,2:00
5-Oct-10,304,122,80,10,2:13
19-Oct-10,306,116,89,10,2:02
2-Nov-10,307,119,83,10,2:02
16-Nov-10,307,96,69,9,1:56
1-Dec-10,306,122,77,10,2:01
15-Dec-10,308,130,88,9,1:50
4-Jan-11,309,140,79,11,2:12
18-Jan-11,310,130,88,9,1:49
1-Feb-11,313,112,51,10,2:00
15-Feb-11,312,121,68,9,1:48
1-Mar-11,304,114,45,12,2:29
15-Mar-11,306,108,75,9,1:47
5-Apr-11,308,123,73,9,1:49
19-Apr-11,307,117,64,10,1:59
3-May-11,305,111,76,15,3:02
17-May-11,333,124,73,12,2:57
1-Jun-11,338,146,80,12,4:01
15-Jun-11,342,136,93,14,2:49
5-Jul-11,347,136,104,9,1:50
19-Jul-11,348,122,97,8,1:36
2-Aug-11,355,152,116,10,2:02
16-Aug-11,355,145,102,14,2:49
6-Sep-11,387,166,128,11,2:12
20-Sep-11,417,155,133,11,2:23
4-Oct-11,427,155,129,12,2:24
18-Oct-11,443,149,120,12,2:26
1-Nov-11,463,149,122,16,3:16
15-Nov-11,482,166,123,13,2:38
6-Dec-11,491,173,111,14,2:52
20-Dec-11,504,156,119,10,2:01
3-Jan-12,513,152,114,13,2:47
17-Jan-12,533,161,111,12,2:25
1-Feb-12,558,155,118,13,2:38
15-Feb-12,575,144,117,11,2:15
6-Mar-12,580,145,112,11,2:12
20-Mar-12,592,145,123,10,2:02
3-Apr-12,603,139,104,13,2:36
17-Apr-12,610,134,118,8,1:37
1-May-12,620,136,119,11,2:15
15-May-12,635,147,136,12,2:25
5-Jun-12,649,170,106,16,3:23
19-Jun-12,667,175,118,13,2:36
3-Jul-12,681,168,132,12,2:26
17-Jul-12,692,155,114,15,3:01
1-Aug-12,702,195,142,13,2:38
15-Aug-12,703,168,103,17,3:25
4-Sep-12,717,203,143,16,3:14
18-Sep-12,718,178,146,12,2:27
2-Oct-12,723,164,139,13,2:37
16-Oct-12,725,178,134,15,3:02
6-Nov-12,725,184,136,13,2:37
20-Nov-12,726,186,147,11,2:13
4-Dec-12,729,178,141,12,2:25
18-Dec-12,737,195,145,11,2:13
2-Jan-13,743,164,122,13,2:35
16-Jan-13,748,202,144,12,2:23
5-Feb-13,762,212,135,13,2:37
19-Feb-13,771,216,135,12,2:26
5-Mar-13,782,200,105,16,3:12
19-Mar-13,785,185,82,17,3:23
2-Apr-13,793,171,78,18,3:37
16-Apr-13,797,158,80,13,2:36
1-May-13,802,135,87,10,2:01
15-May-13,811,154,91,16,3:11
4-Jun-13,825,162,99,10,2:01
18-Jun-13,831,179,99,10,2:01
2-Jul-13,844,182,109,12,2:26
16-Jul-13,849,178,107,13,2:36
6-Aug-13,855,199,132,10,2:00
20-Aug-13,866,184,112,14,2:47
3-Sep-13,873,199,126,10,2:01
17-Sep-13,877,178,131,13,2:35
1-Oct-13,886,195,114,13,2:36
15-Oct-13,888,170,114,14,2:48
5-Nov-13,820,199,129,12,2:25
19-Nov-13,826,206,147,12,2:23
3-Dec-13,831,207,127,16,3:12
17-Dec-13,823,202,133,15,2:59
7-Jan-14,828,208,152,12,2:25
21-Jan-14,833,193,134,12,2:09
4-Feb-14,788,185,124,12,2:09
18-Feb-14,793,191,130,9,1:36
4-Mar-14,796,189,139,11,1:58
18-Mar-14,747,187,142,10,1:48
1-Apr-14,756,201,167,11,1:58
15-Apr-14,764,199,148,12,2:08
6-May-14,724,207,138,13,2:19
20-May-14,734,193,139,14,2:30
3-Jun-14,738,195,144,13,2:19
17-Jun-14,690,193,124,15,2:41
1-Jul-14,702,184,149,12,2:09
15-Jul-14,663,177,144,13,2:21
5-Aug-14,668,178,153,11,1:58
19-Aug-14,650,181,141,13,2:21
2-Sep-14,660,184,158,10,1:46
16-Sep-14,642,191,152,11,1:57
1-Oct-14,657,167,145,13,2:20
15-Oct-14,668,167,132,14,2:31
4-Nov-14,672,165,139,12,2:13
18-Nov-14,676,173,134,13,2:20
2-Dec-14,689,177,128,11,1:57
16-Dec-14,667,176,126,14,2:35
6-Jan-15,671,173,121,14,2:30
20-Jan-15,677,169,113,12,2:09
3-Feb-15,688,169,111,16,2:53
17-Feb-15,694,167,97,14,2:17
3-Mar-15,703,160,107,14,2:16
17-Mar-15,667,134,110,12,2:02
1-Apr-15,669,127,96,11,1:46
15-Apr-15,673,154,108,11,1:47
5-May-15,685,144,117,13,2:07
19-May-15,687,162,128,14,2:17
2-Jun-15,642,148,115,12,1:57
16-Jun-15,649,156,125,12,1:57
1-Jul-15,652,158,140,11,1:46
15-Jul-15,628,135,130,10,1:36
4-Aug-15,637,152,142,12,1:57
18-Aug-15,621,177,136,17,2:46
1-Sep-15,635,166,116,16,2:37
15-Sep-15,639,186,121,18,3:02
6-Oct-15,635,180,119,17,2:37
20-Oct-15,639,163,127,12,1:52
3-Nov-15,643,151,132,10,1:32
17-Nov-15,609,141,117,13,1:55
1-Dec-15,613,161,121,15,2:12
15-Dec-15,613,161,112,10,1:39
5-Jan-16,616,166,127,12,1:54
19-Jan-16,616,156,115,11,1:47
2-Feb-16,619,144,124,11,1:40
16-Feb-16,604,151,115,14,1:58
1-Mar-16,607,160,122,14,2:11
15-Mar-16,606,134,118,13,1:57
5-Apr-16,615,163,119,15,2:15
19-Apr-16,617,163,114,13,1:58
3-May-16,620,147,118,12,1:46
17-May-16,623,155,111,14,2:00
1-Jun-16,614,161,108,18,2:31
15-Jun-16,601,168,114,13,1:57