Product Type,Date of Event,Average Price (USD/MT),Change in Price Index from Previous Event,CP1 Price,CP2 Price,CP3 Price,CP4 Price,CP5 Price,CP6 Price,Total Sold Quantity
AMF,5-Jul-11,5277.672727,-0.0139,5225.9,5270.703704,5430.625,n.a.,n.a.,n.a.,4125
BUT,5-Jul-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Jul-11,3335,0.0106,n.a.,3335,n.a.,n.a.,n.a.,n.a.,300
WMP,19-Jul-11,3475.254688,-0.04,3474.2375,3441.444118,3558.528571,n.a.,n.a.,n.a.,16000
SMP,19-Jul-11,3487.58517,-0.0524,3612.2,3451.682099,3530.8,n.a.,n.a.,n.a.,4990
AMF,19-Jul-11,4613.760417,-0.1249,4512.064103,4609.088889,4961.791667,n.a.,n.a.,n.a.,4800
BUT,19-Jul-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,19-Jul-11,3345,0.003,n.a.,3345,n.a.,n.a.,n.a.,n.a.,257
WMP,2-Aug-11,3474.476757,-0.0032,3476.663292,3452.504167,3545.8,n.a.,n.a.,n.a.,21921
SMP,2-Aug-11,3478.606348,-0.0136,3488.372737,3465.835821,3494.95,n.a.,n.a.,n.a.,7057
AMF,2-Aug-11,4297.317362,-0.0724,4290.455,4248.257182,4556.416667,n.a.,n.a.,n.a.,5489
BUT,2-Aug-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Aug-11,3318.604651,0.0329,3225,3455,n.a.,n.a.,n.a.,n.a.,430
WMP,16-Aug-11,3385.294318,-0.0226,3358.986364,3353.686538,3544.035714,n.a.,n.a.,n.a.,22000
SMP,16-Aug-11,3437.956543,-0.0078,3456.110313,3409.314943,3516.419492,n.a.,n.a.,n.a.,8077
AMF,16-Aug-11,4273.211866,-0.0029,4149.806067,4290.394737,4605.208333,n.a.,n.a.,n.a.,5461
BUT,16-Aug-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,16-Aug-11,3419.850993,0.03,3335,3540,n.a.,n.a.,n.a.,n.a.,604
WMP,6-Sep-11,3313.541346,-0.0155,3235.221053,3343.082692,3416.4,n.a.,n.a.,n.a.,26000
SMP,6-Sep-11,3443.601541,0.0044,3364.827431,3520.649087,3490.381837,n.a.,n.a.,n.a.,9346
AMF,6-Sep-11,4352.876298,0.0202,4312.667532,4340.152846,4747.881356,n.a.,n.a.,n.a.,5295
BUT,6-Sep-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Sep-11,2987.898853,-0.1194,2895,3190,n.a.,n.a.,n.a.,n.a.,959
WMP,20-Sep-11,3345.089269,0.011,n.a.,3288.948947,3342.376538,3508.058183,n.a.,n.a.,25989
SMP,20-Sep-11,3229.683872,-0.0625,n.a.,3173.130824,3249.097143,3395.76,n.a.,n.a.,11973
AMF,20-Sep-11,3845.759837,-0.1126,n.a.,3737.262991,3868.271545,4526.75,n.a.,n.a.,5896
BUT,20-Sep-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,20-Sep-11,2984.723757,0.002,n.a.,2935,3115,n.a.,n.a.,n.a.,905
WMP,4-Oct-11,3308.534405,-0.007,n.a.,3263.15855,3301.152632,3562.448,n.a.,n.a.,24444
SMP,4-Oct-11,3193.376363,-0.0036,3046.607143,3177.751867,3207.742857,3412.28,n.a.,n.a.,9993
AMF,4-Oct-11,3702.536194,-0.0348,n.a.,3674.310345,3685.726265,4486,n.a.,n.a.,5664
BUT,4-Oct-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Oct-11,3075.484048,0.032,n.a.,2985,3335,n.a.,n.a.,n.a.,909
WMP,18-Oct-11,3502.756516,0.0575,n.a.,3472.886,3516.261697,3604.481833,n.a.,n.a.,24326
SMP,18-Oct-11,3291.8621,0.0306,3041.071429,3258.739367,3358.871429,3441.6,n.a.,n.a.,10029
AMF,18-Oct-11,3644.529734,-0.017,n.a.,3623.28237,3618.288551,4540,n.a.,n.a.,5667
BUT,18-Oct-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,18-Oct-11,3018.684211,-0.0189,n.a.,2970,3155,n.a.,n.a.,n.a.,950
WMP,1-Nov-11,3487.128125,-0.0077,n.a.,3511.08,3443.947826,3589.95,n.a.,n.a.,24000
SMP,1-Nov-11,3292.341674,0.0028,3180,3238.379006,3388.297778,3456.3,n.a.,n.a.,7753
AMF,1-Nov-11,3308.969918,-0.0931,n.a.,3200.248963,3352.854701,4200,n.a.,n.a.,5485
BUT,1-Nov-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Nov-11,2934.354839,-0.0211,n.a.,2855,3265,n.a.,n.a.,n.a.,775
WMP,15-Nov-11,3574.395216,0.0242,n.a.,3574.155,3556.728947,3643.877551,n.a.,n.a.,21950
SMP,15-Nov-11,3354.339564,0.0179,3164.56,3267.52356,3508.866667,3677.84,n.a.,n.a.,8025
AMF,15-Nov-11,3571.328671,0.0803,n.a.,3556.685472,3549.07001,4205,n.a.,n.a.,5148
BUT,15-Nov-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Nov-11,3039.338521,0.0357,n.a.,2980,3285,n.a.,n.a.,n.a.,771
WMP,6-Dec-11,3637.230682,0.0203,n.a.,3647.973913,3608.646875,3679.28,n.a.,n.a.,22000
SMP,6-Dec-11,3423.580456,0.0254,3079.14959,3347.193258,3561.866667,3827.813142,n.a.,n.a.,7675
AMF,6-Dec-11,4012.608537,0.1204,n.a.,4004.119351,4013.62069,4068.693694,n.a.,n.a.,4123
BUT,6-Dec-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Dec-11,3410,0.1443,n.a.,3410,n.a.,n.a.,n.a.,n.a.,450
WMP,20-Dec-11,3589.128884,-0.0151,n.a.,3556.2,3614.712931,3658.61,n.a.,n.a.,22012
SMP,20-Dec-11,3312.425543,-0.0325,3081.1,3257.524771,3366.456364,3845,n.a.,n.a.,9200
AMF,20-Dec-11,4182.696266,0.0474,n.a.,3978.221781,4308.804598,4541.875,n.a.,n.a.,4178
BUT,20-Dec-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,20-Dec-11,3280,-0.0381,n.a.,3280,n.a.,n.a.,n.a.,n.a.,700
WMP,3-Jan-12,3554.059093,-0.008,n.a.,3527.447826,3559.339286,3746.11349,n.a.,n.a.,19901
SMP,3-Jan-12,3268.996992,-0.0062,3023.04,3243.050602,3366.2,3438.7,n.a.,n.a.,6650
AMF,3-Jan-12,3982.286064,-0.0507,n.a.,3878.835616,4040.975309,4273.75,n.a.,n.a.,4090
BUT,3-Jan-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Jan-12,3585,0.093,n.a.,3585,n.a.,n.a.,n.a.,n.a.,350
WMP,17-Jan-12,3562.092593,0.0004,n.a.,3517.46087,3616.216667,3696.75,n.a.,n.a.,18900
SMP,17-Jan-12,3351.173389,0.0269,3031.923077,3337.449873,3464.541667,3493.98374,n.a.,n.a.,5727
AMF,17-Jan-12,4083.658124,0.0278,n.a.,4054.120112,4104.582228,4167.924901,n.a.,n.a.,3551
BUT,17-Jan-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,17-Jan-12,3430,-0.0432,n.a.,3430,n.a.,n.a.,n.a.,n.a.,350
WMP,1-Feb-12,3533.101429,-0.0087,n.a.,3494.554545,3642.86,3449.916667,n.a.,n.a.,17500
SMP,1-Feb-12,3296.360483,-0.0043,3007.793834,3264.919231,3474,3457.4,n.a.,n.a.,4469
AMF,1-Feb-12,3942.284768,-0.0351,n.a.,3796.383562,4069.232868,4321.833333,n.a.,n.a.,3624
BUT,1-Feb-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Feb-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,15-Feb-12,3420.906811,-0.0298,n.a.,3385.525242,3446.151661,3586.309444,n.a.,n.a.,20539
SMP,15-Feb-12,3259.433962,-0.0263,2829.9,3245.805243,3390.5,3473.4,n.a.,n.a.,4770
AMF,15-Feb-12,3546.38834,-0.1053,n.a.,3405.748766,3631.510791,4110,n.a.,n.a.,4048
BUT,15-Feb-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Feb-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,6-Mar-12,3408.723022,-0.0023,n.a.,3365.694444,3512.051724,3452.525,n.a.,n.a.,13900
SMP,6-Mar-12,3194.354287,-0.0199,2765.487805,3207.327747,3290.6,3354.2,n.a.,n.a.,4677
AMF,6-Mar-12,3631.25,0.0373,n.a.,3453.345543,3864.057765,3935,n.a.,n.a.,2844
BUT,6-Mar-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Mar-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,20-Mar-12,3315.866395,-0.0263,n.a.,3316.359168,3267.877534,3397.3375,n.a.,n.a.,15980
SMP,20-Mar-12,3125.303823,-0.0196,2786.276596,3105.196667,3286.3,3242.64,n.a.,n.a.,4970
AMF,20-Mar-12,3284.153963,-0.0955,n.a.,3148.380829,3456.653061,3690,n.a.,n.a.,3280
BUT,20-Mar-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,20-Mar-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,3-Apr-12,3227.413115,-0.0282,n.a.,3211.264286,3205.445455,3342.4,n.a.,n.a.,15250
SMP,3-Apr-12,3077.940101,-0.0075,2744.5,3023.543369,3330.484211,3344.2,n.a.,n.a.,5743
AMF,3-Apr-12,3583.383769,0.0831,n.a.,3389.5,3767.433921,4125,n.a.,n.a.,2908
BUT,3-Apr-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Apr-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,17-Apr-12,2847.391533,-0.1102,n.a.,2765.869912,3097.416667,3097.619674,n.a.,n.a.,19937
SMP,17-Apr-12,2871.076755,-0.0756,2647.731278,2794.645966,3101.8,3167.361963,n.a.,n.a.,5967
AMF,17-Apr-12,3303.593216,-0.0691,n.a.,3170.054348,3494.361233,3750,n.a.,n.a.,3508
BUT,17-Apr-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,17-Apr-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-May-12,2776.357563,-0.0225,2754.762712,2743.746907,2838.1,2850.633245,2945,2905,19907
SMP,1-May-12,2729.595985,-0.0463,2519.942197,2674.758454,2801.461538,2991.333333,3035,2976.266667,6027
AMF,1-May-12,2851.710617,-0.1337,n.a.,2705.504587,3137.717122,3117.161017,3110.635135,3125,4361
BUT,1-May-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-May-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,15-May-12,2546.4912,-0.0894,n.a.,2487.927143,2749.3775,2599.95,2653.875,2744.766667,25000
SMP,15-May-12,2573.48013,-0.0551,2395,2552.322936,2711.913043,2692.5,2656.333333,2641.7,7675
AMF,15-May-12,2498.72093,-0.1185,n.a.,2392.239165,2757.705314,2677.054054,2779.256757,2721.036585,4515
BUT,15-May-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-May-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,5-Jun-12,2762.990004,0.0851,2649.46,2784.302508,2788.657143,2809.616788,2822.428571,2939.4,17908
SMP,5-Jun-12,3011.174028,0.2139,2655,3134.851705,3258.333333,2942.411111,2724.35,n.a.,5298
AMF,5-Jun-12,3095.544854,0.2494,n.a.,3392.769231,3102.777094,3101.967742,3016.662484,2860.25,3634
BUT,5-Jun-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Jun-12,2456.154562,-0.2668,n.a.,2515,2525,2295,n.a.,n.a.,537
WMP,19-Jun-12,2886.026578,0.0267,n.a.,2933.355795,2857.95,2850.876667,2868.73,3010.333333,12868
SMP,19-Jun-12,2833.892411,-0.0456,2735,2860.630414,2814.2,2867.944444,2805.45,n.a.,5363
AMF,19-Jun-12,3091.539897,-0.0096,n.a.,3138.604651,3049.16,3092.30303,3106.233333,3081.25,3484
BUT,19-Jun-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,19-Jun-12,2509.473684,0.0238,n.a.,2530,2520,2475,n.a.,n.a.,475
WMP,3-Jul-12,2759.743461,-0.0411,2845.18,2720.752143,2728.444545,2786.332086,2832.236667,2942.17529,18886
SMP,3-Jul-12,2598.862952,-0.0972,2670,2590.627753,2600.843182,2593.27381,2588.021201,n.a.,9960
AMF,3-Jul-12,2744.697949,-0.1059,n.a.,2672.530598,2685.316206,2703.116883,2879.157895,2948.8,5413
BUT,3-Jul-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,3-Jul-12,2482.844037,-0.0078,n.a.,2370,2600,2550,n.a.,n.a.,545
WMP,17-Jul-12,2584.054318,-0.0582,n.a.,2538.075,2547.440909,2634.457627,2714.866667,2762.375,17950
SMP,17-Jul-12,2727.063318,0.0495,2823.6,2802.871896,2687.478261,2697.339782,2585.588235,n.a.,10471
AMF,17-Jul-12,2845.071241,0.0332,n.a.,2881.602837,2822.046005,2784.610895,2830.744444,2980.28,5334
BUT,17-Jul-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,17-Jul-12,2662.440147,0.0729,n.a.,2660,2685,2645,n.a.,n.a.,543
WMP,1-Aug-12,2675.125496,0.0345,2691.542811,2661.761792,2661.353125,2678.778571,2702.071429,2836.283852,26973
SMP,1-Aug-12,2805.29006,0.0327,2940,2779.563335,2793.344924,2787.966667,2877.8,n.a.,10946
AMF,1-Aug-12,2803.822562,-0.0124,n.a.,2891.788953,2805.725,2749.570688,2767.432065,2813.55,5168
BUT,1-Aug-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Aug-12,2415.695313,-0.0879,n.a.,2285,2505,2640,n.a.,n.a.,640
WMP,15-Aug-12,2869.585334,0.0702,n.a.,2860.993023,2860.708004,2880.034286,2913.152624,2938.685932,24574
SMP,15-Aug-12,3023.067149,0.0725,3308.248,2973.312191,2992.933662,2978.02,3031.530435,n.a.,10782
AMF,15-Aug-12,3172.586334,0.1384,n.a.,3132.919255,3102.886598,3109.563067,3257.699115,3567.727273,4054
BUT,15-Aug-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Aug-12,2667.54372,0.1018,n.a.,2565,2690,2870,n.a.,n.a.,629
WMP,4-Sep-12,2977.903592,0.0434,2917.52193,2978.142428,2985.491111,2993.738889,3016.77,3066.075758,37922
SMP,4-Sep-12,3210.780174,0.0757,3670,3152.142857,3220.020525,3274.766667,3191.05,n.a.,11036
AMF,4-Sep-12,3529.590226,0.1177,n.a.,3407.891304,3484.127858,3606.450939,3616.30625,4180,5259
BUT,4-Sep-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Sep-12,3090.559105,0.1597,n.a.,3070,3145,3085,n.a.,n.a.,626
WMP,18-Sep-12,3035.778307,0.0206,2930,3081.246073,2992.156748,3031.498889,3019.75,3057.425,35680
SMP,18-Sep-12,3339.412992,0.0462,3500,3301.563,3339.811765,3361.086957,3414.95,n.a.,10545
AMF,18-Sep-12,3198.921552,-0.0979,n.a.,3071.78487,3196.920024,3231.795455,3285.088235,3850,5953
BUT,18-Sep-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,18-Sep-12,3028.846154,-0.0201,n.a.,2970,3125,3070,n.a.,n.a.,650
WMP,2-Oct-12,3166.875372,0.0275,3416.888889,3132.32,3088.6825,3110.011111,3271.913333,3327.9,36950
SMP,2-Oct-12,3308.697248,-0.0094,3706.8,3298.964602,3288.345455,3305.56,3196.466667,n.a.,10900
AMF,2-Oct-12,2982.460905,-0.0637,n.a.,2894.258873,2971.576087,2966.265306,3087.575758,3620,6075
BUT,2-Oct-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Oct-12,3143.797909,0.0381,n.a.,3085,3060,3385,n.a.,n.a.,574
WMP,16-Oct-12,3421.155615,0.0919,n.a.,3449.971667,3398.0475,3322.133333,3491.983528,3562.4,31957
SMP,16-Oct-12,3325.222587,0.0082,3317.597765,3314.901901,3315.003636,3351.565217,3394.366391,n.a.,9749
AMF,16-Oct-12,2879.147423,-0.031,n.a.,2735.95902,2884.698368,2977.275556,3049,3201.48,5976
BUT,16-Oct-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,16-Oct-12,3288.75,0.0445,n.a.,3270,3335,3280,n.a.,n.a.,600
WMP,6-Nov-12,3351.582394,-0.0245,3448.16,3334.990323,3298.961111,3359.45,3415.7,3475.75,35500
SMP,6-Nov-12,3449.331886,0.0378,3496.933333,3450.486664,3445.225,3447,3400.72,n.a.,8524
AMF,6-Nov-12,3025.682676,0.0536,n.a.,2965,3033.959854,3044.66,3062.984536,3317.5,5830
BUT,6-Nov-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,6-Nov-12,3510,0.0734,n.a.,3510,n.a.,n.a.,n.a.,n.a.,250
WMP,20-Nov-12,3275.93227,-0.0185,n.a.,3254.730323,3253.415886,3315.214286,3415.3,3469.337539,30415
SMP,20-Nov-12,3402.425458,-0.0158,3352,3384.120482,3415.138889,3451.259205,3449.4,3475,8351
AMF,20-Nov-12,3065.904092,0.012,n.a.,3019.846939,3050.137931,3051.77551,3177.575758,3327.188841,6183
BUT,20-Nov-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,20-Nov-12,3615,0.084,n.a.,n.a.,3615,n.a.,n.a.,n.a.,247
WMP,4-Dec-12,3170.250275,-0.0346,3207.314,3157.373322,3148.271875,3169.034091,3222.283333,3297.473118,35401
SMP,4-Dec-12,3361.518662,-0.0117,3262.786667,3405.599255,3315.692308,3337.942857,3384.3,3298.2,8547
AMF,4-Dec-12,3196.781993,0.0375,n.a.,3126.752361,3199.4,3250.299587,3292.636746,3237,5087
BUT,4-Dec-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Dec-12,3615,0.0299,n.a.,3615,n.a.,n.a.,n.a.,n.a.,200
WMP,18-Dec-12,3147.268501,-0.0056,n.a.,3125.855,3146.196875,3180.627778,3176.833333,3297.115172,29903
SMP,18-Dec-12,3418.911478,0.0131,3395,3398.945885,3454.741602,3470.028571,3478.2,3372.2,8608
AMF,18-Dec-12,3180.248975,-0.0014,n.a.,3136.067762,3152.726904,3199.076923,3279.901961,3302.32,5121
BUT,18-Dec-12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,18-Dec-12,3600,-0.0041,n.a.,3600,n.a.,n.a.,n.a.,n.a.,200
WMP,2-Jan-13,3198.603496,0.0157,3206.555556,3183.468889,3204.252409,3219.263333,3230.05,3214.55,31006
SMP,2-Jan-13,3572.415873,0.0462,3609.8,3557.658333,3615.268421,3587.785714,3556.533333,3510,6300
AMF,2-Jan-13,3168.746161,-0.0023,n.a.,3120.366368,3131.07245,3224.088889,3270.88586,3341,4558
BUT,2-Jan-13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Jan-13,3640,0.0111,n.a.,3640,n.a.,n.a.,n.a.,n.a.,184
WMP,16-Jan-13,3288.418407,0.0282,n.a.,3260.616667,3310.305976,3317.391667,3332.566667,3365.10929,25860
SMP,16-Jan-13,3552.482353,-0.0036,3490,3550.016807,3602.631579,3578.428571,3563,3518.75,6375
AMF,16-Jan-13,3252.895842,0.0244,n.a.,3193.394901,3310.625559,3235.716448,3324.208333,3437.5,4762
BUT,16-Jan-13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,16-Jan-13,3405,-0.0646,n.a.,3405,n.a.,n.a.,n.a.,n.a.,200
WMP,5-Feb-13,3468.071253,0.0535,3516.835,3446.054545,3459.122727,3500.104167,3454.15,n.a.,24420
SMP,5-Feb-13,3554.261263,0.0062,3353.291667,3538.04878,3702.966667,3686.75,3664.5,3648,6748
AMF,5-Feb-13,3500.499646,0.0723,n.a.,3499.069383,3505.303811,3499.109195,3493.243243,3509.368932,4233
BUT,5-Feb-13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,5-Feb-13,3530,0.0367,n.a.,3530,n.a.,n.a.,n.a.,n.a.,175
WMP,19-Feb-13,3654.491912,0.0582,n.a.,3638.807143,3667.157659,3665.875,3734.075,n.a.,18422
SMP,19-Feb-13,3591.619927,0.0093,3425,3569.91453,3716.408451,3696.140351,3701.631579,3621.473684,6062
AMF,19-Feb-13,3634.562035,0.04,n.a.,3631.389685,3649.631579,3609.271605,3656.567164,3657.368421,4030
BUT,19-Feb-13,3725.791969,n.a.,n.a.,3765,3690,3685,n.a.,n.a.,1793
BMP,19-Feb-13,3317.5,0.0411,n.a.,3317.5,n.a.,n.a.,n.a.,n.a.,400
WMP,5-Mar-13,4297.816229,0.1797,4360,4343.00625,4299.7375,4243.7,4222.676768,4075.714286,10475
SMP,5-Mar-13,3758.873048,0.0469,3482.020202,3704.643729,4070.970874,3903.029412,3777.411765,3773.058824,4419
AMF,5-Mar-13,3819.876456,0.0491,n.a.,3746.383333,3793,3985,4042.2103,3945,2833
BUT,5-Mar-13,4080.810956,0.0955,n.a.,4035,4120,4160,n.a.,n.a.,1862
BMP,5-Mar-13,4200,0.1429,n.a.,4200,n.a.,n.a.,n.a.,n.a.,200
WMP,19-Mar-13,5115.849091,0.2078,n.a.,5313.265,5403.669276,5170.699482,5199.708738,4285.05291,5447
SMP,19-Mar-13,4050.051443,0.0764,3507.877778,4018.678455,4375.506567,4352.243461,4191.690647,3882.235294,4471
AMF,19-Mar-13,4415.753952,0.1628,n.a.,4392.493438,4431.791667,4458.929766,4463.333333,4382.5,2467
BUT,19-Mar-13,4549.671053,0.1149,n.a.,4490,4545,4840,n.a.,n.a.,1824
BMP,19-Mar-13,3904.333333,0.0857,n.a.,3904.333333,n.a.,n.a.,n.a.,n.a.,375
WMP,2-Apr-13,5099.637505,0.0713,n.a.,5998.173278,5942.745098,6119.38,4795.725,4620.016667,4938
SMP,2-Apr-13,5141.754647,0.2855,3888.25,4776.894928,6025.058824,5561.859375,5623.046875,5537.222222,4035
