Product Type,Date of Event,Average Price (USD/MT),Change in Price Index from Previous Event,CP1 Price,CP2 Price,CP3 Price,CP4 Price,CP5 Price,CP6 Price,Total Sold Quantity
AMF,2-Apr-13,4694.962287,0.0679,n.a.,4742.053571,4788.947368,4701.134021,4490.790323,4500.4,2519
BUT,2-Apr-13,4425.466077,-0.0269,n.a.,4384.911591,4425,4656.111111,n.a.,n.a.,1695
BMP,2-Apr-13,4595,0.0077,n.a.,4595,n.a.,n.a.,n.a.,n.a.,175
WMP,16-Apr-13,5245.123697,0.0251,n.a.,6283.028747,6052.29,6048.2,4877.37395,4838.2,4891
SMP,16-Apr-13,4757.19726,-0.039,4173.581296,4670.369577,5531.176471,5140.559322,4894.21875,4894.14,4963
AMF,16-Apr-13,4963.554097,0.0594,n.a.,5023.793543,5087.309783,5113.75,4732.419355,4608.636364,2514
BUT,16-Apr-13,4720.720721,0.0676,n.a.,4640,4780,5000,n.a.,n.a.,1665
BMP,16-Apr-13,3982.146172,0.0131,n.a.,3982.146172,n.a.,n.a.,n.a.,n.a.,431
WMP,1-May-13,4720.993827,-0.1009,n.a.,6001.211454,5516.869688,4595.76,4518.055648,4567.411397,8100
SMP,1-May-13,4279.674738,-0.0982,4005.489883,4223.621533,4800.454545,4403.864706,4275.933333,n.a.,4873
AMF,1-May-13,4674.94768,-0.053,n.a.,4795.140845,4790.5,4629.178082,4410.8,4463.008299,2198
BUT,1-May-13,4409.020619,-0.0664,n.a.,4575,4225,4250,n.a.,n.a.,1455
BMP,1-May-13,4500,-0.0333,n.a.,4500,n.a.,n.a.,n.a.,n.a.,195
WMP,15-May-13,4722.396065,-0.0171,n.a.,6151.217482,5682.802419,4412.066667,4388.4,4460.5,9453
SMP,15-May-13,4252.450861,-0.0305,3860.114504,4352.531368,4522.716981,4196.333333,4176.244813,n.a.,4121
AMF,15-May-13,4597.672018,-0.0005,n.a.,4761.848984,4826.8,4493.939394,4281.628571,4255.86,2180
BUT,15-May-13,3846.005564,-0.1247,n.a.,3890,3820,3796.845018,n.a.,n.a.,1258
BMP,15-May-13,3876,-0.0511,n.a.,3876,n.a.,n.a.,n.a.,n.a.,500
WMP,4-Jun-13,4643.05298,-0.0698,5239.579571,5250.477059,4488.471429,4337.625714,4386.7375,4532.583333,13590
SMP,4-Jun-13,4163.955069,-0.0285,3679.357143,4116.358811,4351.756098,4270.395315,4304.319307,n.a.,6254
AMF,4-Jun-13,4477.578558,-0.0476,n.a.,5070,4823.04878,4347.384615,4220.333333,4184,2164
BUT,4-Jun-13,3742.728927,-0.0257,n.a.,3830,3690,3675,n.a.,n.a.,1649
BMP,4-Jun-13,4410,0.0328,n.a.,4410,n.a.,n.a.,n.a.,n.a.,305
WMP,18-Jun-13,4668.405513,0.0223,4065,5007.039216,4688.914662,4554.44,4442,4610.687974,12515
SMP,18-Jun-13,4283.819936,0.0302,3793.360996,4294.612795,4523.964143,4336.954858,4306.54321,n.a.,6220
AMF,18-Jun-13,4589.195076,0.0184,n.a.,5332.018349,5298.714286,4289.103393,4204.049658,4241.982759,2112
BUT,18-Jun-13,3925,0.0472,n.a.,4015,3840,3906.574074,n.a.,n.a.,1770
BMP,18-Jun-13,4315,-0.0215,n.a.,4315,n.a.,n.a.,n.a.,n.a.,293
WMP,2-Jul-13,4756.797951,0.0013,5286.681373,4776.526237,4642.041667,4645.35625,4731.05,4755.313765,21569
SMP,2-Jul-13,4440.959945,0.0319,3874.545455,4459.280127,4669.965238,4492.304598,4513.125,n.a.,9537
AMF,2-Jul-13,4644.874016,0.0094,n.a.,5135.411765,5046,4407.5,4369.666667,4725,3175
BUT,2-Jul-13,3707.466598,-0.057,3660,3720,3680.605405,3745,n.a.,n.a.,2919
BMP,2-Jul-13,4609.797297,0.0603,n.a.,4575,4580,4710,n.a.,n.a.,370
WMP,16-Jul-13,5057.946429,0.0762,4170,5381.669421,4911.533333,4883.4875,4938.2,5019.5,19600
SMP,16-Jul-13,4565.812896,0.0343,3908.703704,4580.979251,4691.975248,4760.703297,4790.154639,n.a.,10112
AMF,16-Jul-13,4741.634483,0.0366,n.a.,5309.032258,4737.961538,4693.459821,4628.529412,4492.635135,3625
BUT,16-Jul-13,3693.412427,-0.0032,3835,3695,3670,3725,n.a.,n.a.,2929
BMP,16-Jul-13,4825.789474,0.0476,n.a.,4815,4805,4885,n.a.,n.a.,380
WMP,6-Aug-13,5021.470897,-0.016,5547.539448,4963.587189,4992.721731,5050.158333,5004.955534,5032.700205,39102
SMP,6-Aug-13,4451.024691,-0.03,4034.9125,4466.421435,4412.435103,4683.492429,4622.361702,n.a.,11745
AMF,6-Aug-13,4612.110404,-0.049,n.a.,4703.765141,4624.388046,4634.124016,4474.1,4340.12,4556
BUT,6-Aug-13,3499.31182,-0.055,3675,3356.114152,3581.298701,3760,n.a.,n.a.,2572
BMP,6-Aug-13,4641.069959,0.004,n.a.,4528.333333,4920,4710,n.a.,n.a.,486
WMP,20-Aug-13,5123.581768,0.027,4005,5188.415663,5083.692,5110.289286,5085.975,5073.027027,35925
SMP,20-Aug-13,4425.962794,-0.007,4408.125,4348.936642,4439.821641,4556.384615,4600.828025,n.a.,11181
AMF,20-Aug-13,4931.426686,0.071,n.a.,5010.943252,4989.869609,4923.456865,4771.175,4819.506173,4167
BUT,20-Aug-13,3614.057361,0.033,3515,3675,3552.207792,3590,n.a.,n.a.,2493
BMP,20-Aug-13,4688.75,-0.031,n.a.,4660,4680,4755,n.a.,n.a.,400
WMP,3-Sep-13,5058.007291,-0.017,5345.110837,5017.058,5051.577143,5044.89,5020.508333,5230,32230
SMP,3-Sep-13,4420.437641,-0.008,4130.429787,4387.388112,4471.80949,4576.895425,4631.086957,n.a.,11939
AMF,3-Sep-13,5109.207364,0.031,n.a.,5040.708333,5234.018476,5129.201681,4970.125,5345,3911
BUT,3-Sep-13,3709.666085,0.027,3655,3687.378641,3747.791667,3726.452991,n.a.,n.a.,2291
BMP,3-Sep-13,4566.203091,0.003,n.a.,4468.148148,4695,4730,n.a.,n.a.,453
WMP,17-Sep-13,5095.923115,0.011,n.a.,5115.436606,5109.43871,5051.381766,5068.476667,5176.07582,26156
SMP,17-Sep-13,4329.76007,-0.017,4089.555556,4302.186293,4381.267361,4449.755614,4745,n.a.,10899
AMF,17-Sep-13,4939.960956,-0.033,n.a.,4891.782658,4971.248541,4884.174365,4889.35,5465,4226
BUT,17-Sep-13,3910.550258,0.052,3735,3915,3885,3955,n.a.,n.a.,2517
BMP,17-Sep-13,4805,0.022,n.a.,4790,4820,4820,n.a.,n.a.,300
WMP,1-Oct-13,5208.213224,0.023,n.a.,5266.44613,5161.060336,5164.893617,5182.988145,5427.222222,24547
SMP,1-Oct-13,4491.118494,0.039,4278.596103,4467.626331,4539.077626,4586.401869,4575,5085,10836
AMF,1-Oct-13,5061.633216,0.027,n.a.,5061.53277,5043.121951,5125.706522,5038.997934,5066.8,3986
BUT,1-Oct-13,3915.14441,0.001,3970,3965,3875,3810,n.a.,n.a.,2943
BMP,1-Oct-13,4695.229885,0.027,n.a.,4486.914894,4930,4950,n.a.,n.a.,435
WMP,15-Oct-13,5058.156937,-0.029,n.a.,5137.117069,5024.068162,4982.349345,4963.907035,5226.315789,23347
SMP,15-Oct-13,4540.862542,0.007,4408.79397,4580.319496,4480.755556,4530.362319,4573.90411,4980,9843
AMF,15-Oct-13,5007.155284,-0.012,n.a.,4988.545714,5027.043902,5015.425532,4972.510204,5225,3851
BUT,15-Oct-13,3779.951577,-0.035,4185,3751.336971,3795,3805,n.a.,n.a.,3614
BMP,15-Oct-13,4680.468278,-0.052,n.a.,4685,4670,4685,n.a.,n.a.,331
WMP,5-Nov-13,4891.049507,-0.037,5047.066667,4838.046277,4865.732143,4922.307143,5098.888889,5207.777778,28885
SMP,5-Nov-13,4559.336807,0.005,4245,4638.813591,4599.619238,4445.559623,4425.920245,4817.536232,10653
AMF,5-Nov-13,5343.272148,0.069,n.a.,5345.263956,5345.209003,5341.900212,5336.829268,5335,3296
BUT,5-Nov-13,3528.737617,-0.07,3850,3508.191925,3530,3500,n.a.,n.a.,3533
BMP,5-Nov-13,4523.503254,0.018,n.a.,4444.141274,4810,n.a.,n.a.,n.a.,461
WMP,19-Nov-13,4869.755002,0,n.a.,4864.914618,4844.202778,4863.157143,5054.2,5185,32388
SMP,19-Nov-13,4582.537555,0.007,4435.397219,4587.1813,4593.879358,4623.561224,4582.653061,4781.65625,10185
AMF,19-Nov-13,5255.350365,-0.016,n.a.,5279.321534,5321.377953,5245.75,5127.222222,5116.724138,3425
BUT,19-Nov-13,3582.852229,0.017,3850,3570,3590,3545,n.a.,n.a.,3634
BMP,19-Nov-13,4753.333333,-0.001,n.a.,4730,4800,n.a.,n.a.,n.a.,300
WMP,3-Dec-13,5035.286356,0.034,5024.94,5000.282051,5081.11,5120.783333,5081.202091,n.a.,34485
SMP,3-Dec-13,4790.811534,0.056,4557.918552,4801.918295,4781.300757,4816.11236,4918.098592,5745,8219
AMF,3-Dec-13,5395.37928,0.027,n.a.,5383.517241,5440.338645,5392.123288,5283.311688,5610,3388
BUT,3-Dec-13,3750.249373,0.045,4055,3740.274194,3735,3695,n.a.,n.a.,3188
BMP,3-Dec-13,4630.333333,0.046,n.a.,4575,4990,n.a.,n.a.,n.a.,375
WMP,17-Dec-13,4958.137271,-0.015,n.a.,4902.555556,5001.065625,5087.2,5121.366667,n.a.,30050
SMP,17-Dec-13,4868.153566,0.017,4965.122494,4782.279819,4908.358065,4901.095951,4946.048387,5012.017544,9058
AMF,17-Dec-13,5667.966867,0.044,n.a.,5556.609529,5636.904762,5750,5915,6385,3320
BUT,17-Dec-13,4050.895594,0.079,3980,4060,4080,4010.881743,n.a.,n.a.,3132
BMP,17-Dec-13,5070,0.022,n.a.,5045,5195,n.a.,n.a.,n.a.,150
WMP,7-Jan-14,4934.431126,-0.006,4957.113474,4892.875862,4959.525,4990.9,5102.875,n.a.,29532
SMP,7-Jan-14,4687.515688,-0.034,4630.611111,4780.689655,4772.170014,4580.852018,4522.1875,4500.348259,7968
AMF,7-Jan-14,5538.25596,-0.018,n.a.,5519.836066,5576.145251,5463.491379,5611.363636,5825,3985
BUT,7-Jan-14,4222.68866,0.051,3925,4272.617188,4256.538462,4355,n.a.,n.a.,2425
BMP,7-Jan-14,4538.945409,0.005,n.a.,4499.52381,5135,n.a.,n.a.,n.a.,403
WMP,21-Jan-14,4942.612713,0.001,n.a.,4920.694254,4961.35,4970.974286,5047.001067,n.a.,25485
SMP,21-Jan-14,4698.247006,-0.005,4513.26087,4722.917981,4818.042688,4655,4764.966667,4706.25,6931
AMF,21-Jan-14,5640.878748,0.022,n.a.,5615.53379,5699.547591,5626.181034,5621.564885,5795,3835
BUT,21-Jan-14,4657.115677,0.108,4435,4793.035714,4655.717703,4680,n.a.,n.a.,2628
BMP,21-Jan-14,5244.433498,0.03,n.a.,5290,5105,n.a.,n.a.,n.a.,203
WMP,4-Feb-14,5004.520651,0.014,4971.233,4987.149669,5060.665888,5027.177778,5058.89,n.a.,19224
SMP,4-Feb-14,4746.018082,0,4477.716325,4788.912685,4752.679612,4703.948718,4918.257576,4837.66129,7853
AMF,4-Feb-14,5569.335303,-0.012,n.a.,5499.260776,5643.756121,5646.564039,5705.943396,5950,4062
BUT,4-Feb-14,4745.035444,0.026,4355,4838.279352,4905.272408,5025,n.a.,n.a.,2116
BMP,4-Feb-14,4774.924433,-0.012,n.a.,4722.5,5285,n.a.,n.a.,n.a.,397
WMP,18-Feb-14,4998.992541,-0.003,n.a.,4972.061448,5007.787264,5022.746154,5132.154696,n.a.,18100
SMP,18-Feb-14,4779.874397,-0.001,4407.595556,4901.359584,4874.13836,4698.965517,4826.231884,4675.304,7882
AMF,18-Feb-14,5313.762933,-0.045,n.a.,5292.723126,5343.46087,5385.423529,5225,5550,4446
BUT,18-Feb-14,4585.899827,-0.038,4175,4654.420732,4677.272727,5045,n.a.,n.a.,2306
BMP,18-Feb-14,5355,0.031,n.a.,5315,5455,n.a.,n.a.,n.a.,175
WMP,4-Mar-14,4702.755227,-0.057,4644.075,4669.957329,4685.52,4843.295292,5057.466667,5026.986667,22862
SMP,4-Mar-14,4658.126687,-0.039,4371.666667,4718.834623,4768.220339,4635,4614.666667,4585.925926,10001
AMF,4-Mar-14,5126.368341,-0.035,n.a.,5067.829708,5115.431925,5304.724138,5313.9,5400,3961
BUT,4-Mar-14,4745.895815,0.039,4250,4975,4834.355628,4825,n.a.,n.a.,2294
BMP,4-Mar-14,4791.647564,-0.058,n.a.,4718.344482,5230,n.a.,n.a.,n.a.,349
WMP,18-Mar-14,4439.25317,-0.058,n.a.,4383.350679,4456.102836,4489.614,4783.16,4641,19951
SMP,18-Mar-14,4583.905961,-0.017,4365.555556,4672.782555,4686.192513,4565.972222,4482.631579,4382.956778,10283
AMF,18-Mar-14,4578.416774,-0.107,n.a.,4550.504819,4599.362694,4612.512019,4669.4,4635,3875
BUT,18-Mar-14,4534.18768,-0.044,4501.122449,4575.428571,4479.397163,4650,n.a.,n.a.,3133
BMP,18-Mar-14,5253.333333,0.046,n.a.,5245,5295,n.a.,n.a.,n.a.,150
WMP,1-Apr-14,4032.550629,-0.084,3975.884293,3951.265789,4089.04816,4720,4377.725,4167.9,21381
SMP,1-Apr-14,4126.479793,-0.096,4216.968641,4132.552987,4152.173913,4177.503439,4071.596639,4037.637131,10417
AMF,1-Apr-14,4061.806697,-0.113,n.a.,4037.508888,4089.107143,4086.339286,4088.510638,4216.138614,3285
BUT,1-Apr-14,4040.012263,-0.11,4370,3953.488372,3841.647059,4155,n.a.,n.a.,2854
BMP,1-Apr-14,4210.882353,-0.15,n.a.,4210.882353,n.a.,n.a.,n.a.,n.a.,204
WMP,15-Apr-14,3990.287606,-0.016,n.a.,3913.268116,4029.316667,4222.575,4227.977778,4165.6,17750
SMP,15-Apr-14,3969.251152,-0.044,4000,3949.283199,3940.695351,4008.988764,4069.021739,4047.357664,9982
AMF,15-Apr-14,4085.826377,0.006,n.a.,4068.0875,4092.8,4098.823529,4105.669014,4227.222222,3594
BUT,15-Apr-14,3832.397695,-0.049,4050,3790.782907,3745.444444,3785,n.a.,n.a.,3470
BMP,15-Apr-14,4075,-0.086,n.a.,4075,n.a.,n.a.,n.a.,n.a.,185
WMP,6-May-14,3928.391796,-0.017,3872.231134,3948.355705,4046.618182,3927.609091,3924.22,3873.983333,20526
SMP,6-May-14,3873.008678,-0.023,3850,3848.834333,3896.010417,3962.226891,3951.724138,3917.702703,10601
AMF,6-May-14,4170.033359,0.024,n.a.,4176.968085,4213.707865,4213.157895,4089.75,4136.542553,2548
BUT,6-May-14,3891.625954,0.016,4217.807018,3839.642564,3775,3766.441441,3790,n.a.,3275
BMP,6-May-14,3713.195991,-0.012,n.a.,3713.195991,n.a.,n.a.,n.a.,n.a.,449
WMP,20-May-14,3876.979098,-0.011,n.a.,3796.014783,3937.47889,3924.581818,3922.281818,3996.854725,15070
SMP,20-May-14,3732.983696,-0.035,3987,3639.805589,3857.69802,3924.95935,3947.327586,4020.612648,12451
AMF,20-May-14,4255.012896,0.019,n.a.,4258.75,4238.815331,4249.7,4265.5,4271,2714
BUT,20-May-14,3666.500822,-0.038,4310,3646.750806,3584.4,3620.854801,3661.428571,n.a.,2432
BMP,20-May-14,3950,-0.019,n.a.,3950,n.a.,n.a.,n.a.,n.a.,140
WMP,3-Jun-14,3594.286684,-0.085,4102.950153,3609.212886,3493.875294,3557.540139,3588.302326,3616.115385,19893
SMP,3-Jun-14,3863.289881,0.021,4050,3858.739021,3832.715856,3774.431373,3869.693878,3963.390805,10011
AMF,3-Jun-14,4057.685441,-0.05,n.a.,3987.956465,3991.900312,4177.176471,4157.65,4210.6,3977
BUT,3-Jun-14,3634.262056,0,4555,3645,3473.333333,3610,3735,n.a.,2053
BMP,3-Jun-14,3628.333333,-0.019,n.a.,3628.333333,n.a.,n.a.,n.a.,n.a.,450
WMP,17-Jun-14,3658.27517,0.024,n.a.,3715.366197,3655.210169,3640.291667,3616.729167,3678.95,14700
SMP,17-Jun-14,3854.917006,-0.002,3981.914894,3843.523933,3879.366824,3810.431373,3847.926829,3859.976852,9820
AMF,17-Jun-14,3898.218482,-0.038,n.a.,3826.291667,3900.772727,3974.752531,3960.91,4097.29927,4426
BUT,17-Jun-14,3699.25979,0.018,4720,3711.360544,3645,3670,3595,n.a.,2094
BMP,17-Jun-14,4535,0.17,n.a.,4535,n.a.,n.a.,n.a.,n.a.,190
WMP,1-Jul-14,3459.029955,-0.054,3770,3405.058291,3418.123,3440.873457,3489.283942,3658.605263,22834
SMP,1-Jul-14,3810.3447,-0.009,3895.408163,3821.164946,3826.109023,3764.724771,3748.035176,3782.608696,9472
AMF,1-Jul-14,3605.57629,-0.074,n.a.,3617.413278,3618.930269,3538.246102,3630.017452,3671,4555
BUT,1-Jul-14,3180.580862,-0.136,4875,3165,3100,3120,3200,n.a.,2832
BMP,1-Jul-14,4134.61165,0.04,n.a.,3923.214286,4680,4280,n.a.,n.a.,515
WMP,15-Jul-14,3088.420718,-0.109,n.a.,3090.49265,3082.190769,3042.034286,3073.762222,3423.052632,19664
SMP,15-Jul-14,3515.763723,-0.071,3850,3478.088543,3508.813161,3612.238095,3542.684211,3534.891304,8380
AMF,15-Jul-14,3249.631832,-0.1,n.a.,3198.140625,3222.58829,3289.357143,3372.583149,3475.44,3952
BUT,15-Jul-14,3144.012784,-0.011,4800,3115,3035.355556,3125,3195,n.a.,2816
BMP,15-Jul-14,4425.509915,-0.046,n.a.,4485,4360,4440,n.a.,n.a.,353
WMP,5-Aug-14,2724.898332,-0.115,2927.307692,2655.446701,2698.915033,2747.911201,2779.537879,3093.275,28721
SMP,5-Aug-14,3263.700066,-0.065,3051.473297,3165.47191,3315.113793,3420.853816,3376.125,3464.714286,10589
AMF,5-Aug-14,3456.687352,0.06,n.a.,3467.84,3428.536813,3452.045455,3484.388021,3521.102362,3384
BUT,5-Aug-14,2800.450777,-0.096,n.a.,2775,2780,2890,2775,n.a.,2895
BMP,5-Aug-14,3852.142857,-0.101,n.a.,3770,3950,4035,n.a.,n.a.,490
WMP,19-Aug-14,2804.261625,0.034,n.a.,2755.184615,2807.411765,2846.908557,2836.331818,2901.076923,27635
SMP,19-Aug-14,2873.596894,-0.12,n.a.,2806.388363,2880.026087,2929.492188,2999.925,3098.614286,9789
AMF,19-Aug-14,3566.236433,0.036,n.a.,3582.71495,3569.824047,3550.336134,3527.8,3557.68,3409
BUT,19-Aug-14,2939.752511,0.049,n.a.,2985,2797.222222,3025,3050,n.a.,2788
BMP,19-Aug-14,3885.984655,-0.025,n.a.,3895,3865,3910,n.a.,n.a.,391
WMP,2-Sep-14,2672.538209,-0.043,2670.692,2619.738286,2664.517339,2722.471813,2841.404494,2886.266667,36183
SMP,2-Sep-14,2599.716949,-0.095,2707.627119,2516.894915,2623.909091,2684.637097,2775.9,3155.5,11906
AMF,2-Sep-14,3360.354048,-0.058,n.a.,3310.745729,3357.1875,3401.1,3448.5625,3539.4,3347
BUT,2-Sep-14,2753.458837,-0.056,n.a.,2565,2816.275,3010,3085,n.a.,2563
BMP,2-Sep-14,3173.809524,-0.129,n.a.,3013.846154,3385,3580,n.a.,n.a.,525
WMP,16-Sep-14,2691.954502,0.006,n.a.,2670.308504,2696.273171,2694.197917,2722.536585,2872.8125,30023
SMP,16-Sep-14,2619.058734,0.009,2531.778523,2600.980043,2660.211182,2595.493333,2602.763905,2827.75,11782
AMF,16-Sep-14,3264.301938,-0.022,n.a.,3233.861681,3251.30799,3301.354167,3313.051948,3394.466667,3302
BUT,16-Sep-14,2697.535875,-0.025,n.a.,2645,2700,2706.333333,2895,n.a.,2439
BMP,16-Sep-14,3140.179949,-0.069,n.a.,3130,3115,3265,n.a.,n.a.,389
WMP,1-Oct-14,2443.30024,-0.1,2721.65,2404.613333,2415.569929,2427.041227,2455.3125,2756.4,34146
SMP,1-Oct-14,2540.209734,-0.027,2409.75,2519.17846,2559.425081,2584.671111,2678.063158,2665,11896
AMF,1-Oct-14,3117.136262,-0.05,n.a.,2987.123288,3201.205674,3231.263158,3243.151596,3348.8,3141
BUT,1-Oct-14,2513.68669,-0.066,n.a.,2630,2480.542784,2385,2460,n.a.,2547
BMP,1-Oct-14,2722.89749,-0.113,n.a.,2638.298817,2890,3020,n.a.,n.a.,478
WMP,15-Oct-14,2503.150245,0.031,n.a.,2470.089238,2500.62766,2501.363208,2554.60625,2783.135714,30550
SMP,15-Oct-14,2462.320652,-0.036,n.a.,2422.591292,2477.198198,2544.238833,2599.565217,2663.333333,11040
AMF,15-Oct-14,3345.512346,0.074,n.a.,3323.777778,3329.563046,3335.5,3423.40617,3461,3240
BUT,15-Oct-14,2613.798752,0.039,n.a.,2605,2585,2638.972477,2670,n.a.,2564
BMP,15-Oct-14,2685.075075,-0.038,n.a.,2640,2720,2745,n.a.,n.a.,333
WMP,4-Nov-14,2521.879658,0.016,2547.183623,2469.171875,2505.627346,2664.177778,2793.523077,2788,27372
SMP,4-Nov-14,2456.503098,-0.012,n.a.,2423.972163,2475.192771,2437.910345,2616.044444,2822,8870
AMF,4-Nov-14,3292.488809,-0.016,n.a.,3252.603571,3303.2,3273.357964,3371.968326,3454.666667,3351
BUT,4-Nov-14,2505.295567,-0.041,n.a.,2525,2425,2530,2600,n.a.,2233
